,Name,Rating,Score,Release,Budget,Open,Gross,Decade,Profit,Budget_Adjusted,Gross_Adjusted,Open_Adjusted,Profit_Adjusted
350,Paddington,PG,98.0,2015-01-16,55000000.0,3431093.047845625,76223578.0,2010,21223578.0,57239754.95428598,79327616.84470734,3570816.8233461417,22087861.890421364
352,Big,PG,97.0,1988-06-03,18000000.0,759632.9820210787,114968774.0,1980,96968774.0,37545278.00367706,239807476.7539955,1584479.5272635345,202262198.75031844
353,Spy,R,94.0,2015-06-05,65000000.0,2855570.0,110825712.0,2010,45825712.0,67646983.12779252,115338847.22753222,2971856.855542008,47691864.099739686
354,The Grand Budapest Hotel,R,92.0,2014-03-28,25000000.0,920982.7492937429,59100318.0,2010,34100318.0,26048934.921780165,61580013.49754052,959624.7880173955,35531078.57576035
355,The Nice Guys,R,92.0,2016-05-20,50000000.0,11203270.0,36261763.0,2010,-13738237.0,51386948.40124035,37267626.88438013,11514037.14830328,-14119321.516860219
356,Before Sunrise,R,100.0,1995-01-27,2500000.0,1423537.0,5535405.0,1990,3035405.0,4046850.0501032155,8960381.600636637,2304336.3119095126,4913531.55053342
358,Monty Python's Life of Brian,R,97.0,1979-08-17,4000000.0,26376.0,20045115.0,1970,16045115.0,13595260.075783672,68129637.91849811,89647.14493971755,54534377.84271443
360,Sideways,R,96.0,2005-01-21,12000000.0,207042.0,71503593.0,2000,59503593.0,15156960.099823862,90314758.84125373,261510.61108231102,75157798.74142988
361,Amadeus,R,95.0,1984-09-19,18000000.0,86764.0,51973029.0,1980,33973029.0,42740657.8029009,123408969.30384694,206019.46853393855,80668311.50094603
363,Tangerine,R,97.0,2015-07-10,100000.0,74934.0,701837.0,2010,601837.0,104072.28173506542,730417.7799609312,77985.52359535392,626345.4982258657
364,The Player,R,98.0,1992-05-08,8000000.0,302216.0,21706100.0,1990,13706100.0,14063560.989651132,38158132.64968331,531279.1435060509,24094571.660032175
365,What We Do In The Shadows,R,96.0,2015-02-13,1600000.0,200108.0,3333000.0,2010,1733000.0,1665156.5077610468,3468729.1502297306,208256.96153440472,1803572.6424686837
367,Sense and Sensibility,PG,98.0,1996-01-26,16000000.0,3355517.6314038592,43182776.0,1990,27182776.0,25162282.435447883,67911075.37866752,5277030.147406813,42748792.94321964
368,The Edge of Seventeen,R,95.0,2016-11-18,9000000.0,4754215.0,14260193.0,2010,5260193.0,9249650.712223262,14655756.037654577,4886092.017868058,5406105.325431313
369,Moonrise Kingdom,PG13,93.0,2012-06-29,16000000.0,522996.0,45512466.0,2010,29512466.0,17189995.20052179,48897442.00649445,561893.6706182559,31707446.80597266
371,Brazil,R,98.0,1985-12-18,15000000.0,30099.0,9929135.0,1980,-5070865.0,34397598.37793691,22769226.531354435,69022.2209051682,-11628371.846582467
372,Repo Man,R,98.0,1984-03-02,1500000.0,95300.0,3569083.0,1980,2069083.0,3561721.483575075,8474719.73184172,226288.03825646976,4912998.248266645
373,Enough Said,PG13,95.0,2013-10-11,8000000.0,232800.0,17536788.0,2010,9536788.0,8470882.155829256,18569008.06747008,246502.6707346314,10098125.911640823
374,Lost In Translation,R,95.0,2003-10-03,4000000.0,167255.0,44585453.0,2000,40585453.0,5363584.145932246,59784457.212501824,224271.56658197442,54420873.06656958
375,The Truman Show,PG,94.0,1998-06-05,60000000.0,31542121.0,125618201.0,1990,65618201.0,90793763.11861229,190089153.08300376,47730464.37221011,99295389.96439147
376,Broadcast News,R,98.0,1987-12-25,20000000.0,197542.0,51249404.0,1980,31249404.0,43418085.80858086,111257551.02553137,428844.77533993404,67839465.21695049
377,Manhattan,R,96.0,2011-05-06,150000000.0,3319303.16135713,181030624.0,2010,31030624.0,164490473.32582656,198518753.52153158,3639958.320823645,34028280.19570503
379,Le Havre,PG,99.0,2011-09-08,2760450.2760450277,26363.0,611709.0,2010,-2148741.2760450277,3027118.4833270344,670802.0196511203,28909.74898859177,-2356316.4636759143
380,Groundhog Day,PG,96.0,1993-02-12,14600000.0,14652108.0,70906973.0,1990,56306973.0,24930146.41475169,121076795.80252361,25019123.131832507,96146649.38777193
381,Hairspray,PG,98.0,2007-07-20,75000000.0,994803.0730331616,118871849.0,2000,43871849.0,89225553.62095968,141418753.826295,1183491.399136211,52193200.20533529
383,Man on Wire,PG13,100.0,2008-08-29,549752.6113249038,51392.0,2957978.0,2000,2408225.3886750964,629861.0261452426,3389006.2912206003,58880.698679438814,2759145.265075358
386,20 Feet From Stardom,PG13,99.0,2013-07-26,1000000.0,54596.0,4946445.0,2010,3946445.0,1058860.269478657,5237594.085661357,57809.53527245677,4178733.816182699
389,Taxi to the Dark Side,R,100.0,2009-01-23,1000000.0,13656.0,274661.0,2000,-725339.0,1149773.6987093135,315797.9938611988,15701.309629574385,-833975.7048481148
392,Murderball,R,98.0,2005-08-05,1750211.0,57286.0,1523883.0,2000,-226328.0,2210656.524439402,1924786.1523166571,72356.80135654248,-285870.3721227446
397,Deliver Us from Evil,NR,100.0,2014-07-02,30000000.0,9740471.0,30577122.0,2010,577122.0,31258721.906136196,31860058.442933302,10149155.807459477,601336.5367971045
398,Inside Job,PG13,98.0,2010-11-12,2000000.0,39649.0,4312735.0,2010,2312735.0,2262442.359857926,4878657.175420937,44851.78856300346,2616214.8155630105
403,The Square ,NR,100.0,2014-01-10,1500000.0,16359.0,124244.0,2010,-1375756.0,1562936.0953068098,129456.9548168662,17045.38105541607,-1433479.1404899436
417,The Act Of Killing,NR,96.0,2012-11-08,1000000.0,27450.0,486919.0,2010,-513081.0,1074374.7000326118,523133.45456517936,29491.5855158952,-551241.2454674327
427,Bowling for Columbine,R,96.0,2002-11-15,4000000.0,209148.0,21244913.0,2000,17244913.0,5485342.599027102,29133906.572881166,286812.1084753301,23648563.97385407
434,March of the Penguins,G,94.0,2005-07-22,8000000.0,65268.0,77437223.0,2000,69437223.0,10104640.066549242,97809408.27101356,82438.70598294199,87704768.20446432
452,Blindsight,PG,98.0,2008-08-08,105000.0,7127.0,88283.0,2000,-16717.0,120300.3066886106,101147.35214657724,8165.5265311402645,-19152.954542033367
456,Sicko,PG13,92.0,2007-07-03,9000000.0,68969.0,24540079.0,2000,15540079.0,10707066.434515161,29194695.12902782,82050.62943578625,18487628.69451266
463,Surfwise,R,98.0,2008-05-09,127000.0,10304.0,268560.0,2000,141560.0,145506.0852328909,307693.8129932692,11805.470096375655,162187.72776037824
469,The Godfather,R,99.0,1972-03-24,6000000.0,5555.3424131977745,134966411.0,1970,128966411.0,35392921.47984114,796142597.8231612,32769.966303990004,760749676.3433201
470,Moonlight,R,98.0,2016-11-18,1500000.0,1488740.0,27850912.0,2010,26350912.0,1541608.4520372103,28623467.557429712,1530036.1112572511,27081859.1053925
471,Spotlight,R,97.0,2015-11-20,20000000.0,295009.0,45055776.0,2010,25055776.0,20814456.347013082,46890574.13663999,307022.5976237991,26076117.789626904
473,12 Years a Slave,R,96.0,2013-11-08,20000000.0,923715.0,56671993.0,2010,36671993.0,21177205.389573142,60007721.779872574,978085.1138214779,38830516.39029943
476,Selma,PG13,99.0,2015-01-09,20000000.0,11307394.0,52076908.0,2010,32076908.0,20814456.347013082,54197626.41267082,11767862.940573882,33383170.065657742
478,Argo,R,96.0,2012-10-12,44500000.0,19458109.0,136025503.0,2010,91525503.0,47809674.15145123,146142358.98241016,20905300.020076867,98332684.83095892
479,Arrival,PG13,94.0,2016-11-11,47000000.0,24000000.0,100546139.0,2010,53546139.0,48303731.497165926,103335185.1347388,24665735.232595365,55031453.63757287
480,Hell or High Water,R,98.0,2016-08-26,12000000.0,621329.0,26862450.0,2010,14862450.0,12332867.616297683,27607586.641617976,638564.0252638853,15274719.025320293
482,Bicycle Thieves ,NR,98.0,1949-12-13,133000.0,25010.0,332930.0,1940,199930.0,1377961.9322895291,3449359.8956176913,259119.00696662502,2071397.9633281622
484,The Babadook,NR,98.0,2014-11-28,2000000.0,559147.0,924279.0,2010,-1075721.0,2083914.7937424132,963059.3408227221,582607.3525883445,-1120855.4529196913
485,Manchester by the Sea,R,95.0,2016-12-16,8500000.0,4223828.0,47695120.0,2010,39195120.0,8735781.228210859,49018133.40861933,4340992.629834284,40282352.18040847
486,The Wrestler,R,98.0,2009-01-30,6000000.0,202714.0,26236603.0,2000,20236603.0,6898642.192255881,30166156.072877873,233075.22556015977,23267513.880621992
487,L.A. Confidential,R,99.0,1997-09-19,35000000.0,5211198.0,64616940.0,1990,29616940.0,53785162.48493715,99298074.77655527,8008146.604890844,45512912.29161813
488,Brooklyn,PG13,96.0,2015-11-25,11000000.0,187281.0,38317535.0,2010,27317535.0,11447950.990857197,39877932.9791323,194907.60995624788,28429981.988275103
490,Creed,PG13,95.0,2015-11-25,35000000.0,29632823.0,109767581.0,2010,74767581.0,36425298.60727289,114237626.15208615,30839555.038613264,77812327.54481325
491,Whiplash,R,94.0,2014-10-15,3300000.0,135388.0,13092000.0,2010,9792000.0,3438459.4096749816,13641306.239837836,141068.52804759893,10202846.830162855
492,The Social Network,PG13,96.0,2010-10-01,40000000.0,22445653.0,96962694.0,2010,56962694.0,45248847.19715852,109686253.11577098,25390998.070936073,64437405.91861247
493,Room,R,94.0,2016-01-22,13000000.0,1335563.0,14677654.0,2010,1677654.0,13360606.58432249,15084796.97498518,1372610.1393521153,1724190.3906626895
494,Nightcrawler,R,95.0,2014-10-31,8500000.0,10900000.0,32381218.0,2010,23881218.0,8856637.873405255,33739849.61479906,11357335.625896152,24883211.7413938
496,Carol,R,94.0,2016-01-15,11800000.0,253510.0,12711491.0,2010,911491.0,12127319.822692722,13064094.642396621,260542.10578396881,936774.8197038993
497,Mud,PG13,98.0,2013-05-10,10000000.0,2215460.0,21590086.0,2010,11590086.0,10588602.694786571,22860884.280027386,2345862.572619186,12272281.585240811
498,Mr. Turner,R,97.0,2014-10-31,5125320.332520782,109000.0,3958546.0,2010,-1166774.332520782,5340365.431804421,4124636.2855549273,113573.35625896152,-1215729.1462494938
500,It Follows,R,97.0,2015-03-27,2000000.0,160089.0,14673301.0,2010,12673301.0,2081445.6347013083,15270839.156554172,166608.2751068489,13189393.521852862
501,Pan's Labyrinth,R,95.0,2007-01-19,10410240.592227021,1191635.564466379,37634615.0,2000,27224374.40777298,12384793.06891791,44772924.78248898,1417657.9060524993,32388131.713571075
502,Evil Dead 2: Dead by Dawn,R,98.0,1987-03-13,3600000.0,807260.0,5923044.0,1980,2323044.0,7815255.445544555,12858361.632000001,1752484.1974917492,5043106.186455445
503,The Witch,R,91.0,2016-02-19,3500000.0,8800230.0,25138292.0,2010,21638292.0,3597086.388086824,25835602.277986262,9044339.298580946,22238515.889899436
504,The Cabin in the Woods,R,92.0,2012-04-13,30000000.0,14743614.0,42073277.0,2010,12073277.0,32231241.000978358,45202464.35626399,15840165.868646618,12971223.355285633
505,The Silence of the Lambs,R,95.0,1991-02-14,19000000.0,13766814.0,130742922.0,1990,111742922.0,34412612.119093776,236800287.47910172,24934317.384089995,202387675.36000794
506,The Innocents,NR,96.0,2016-02-10,5346640.527535198,127112.0,1063893.0,2010,-4282747.527535198,5494950.818168635,1093404.293908816,130637.95570356927,-4401546.524259819
508,Cat People,R,93.0,1982-04-02,18000000.0,1617636.0,7000000.0,1980,-11000000.0,46010797.92746114,17893088.082901556,4134929.0620103627,-28117709.844559584
509,Drag Me to Hell,PG13,92.0,2009-05-29,30000000.0,1180526.608910891,42100625.0,2000,12100625.0,34493210.96127941,48406191.324223794,1357338.4455522385,13912980.362944387
519,Green Room,R,90.0,2016-05-13,5000000.0,87984.0,3219029.0,2010,-1780971.0,5138694.840124034,3308321.5425019264,90424.58536269462,-1830373.2976221086
520,Re-Animator,R,94.0,1985-10-18,900000.0,543728.0,2023414.0,1980,1123414.0,2063855.9026762142,4640038.808286321,1246862.4913892585,2576182.9056101074
521,Train to Busan ,NR,95.0,2016-07-20,8754037.79993522,284776.0,2129768.0,2010,-6624269.79993522,8996865.774555575,2188845.566452257,292675.39235823246,-6808020.208103317
522,A Nightmare on Elm Street,R,94.0,1984-11-16,1800000.0,1271000.0,25504513.0,1980,23704513.0,4274065.78029009,60559981.25347986,3017965.3370826137,56285915.47318977
524,Shaun of the Dead,R,92.0,2004-09-24,2218401.641617215,889251.8440463647,13542874.0,2000,11324472.358382786,2897084.1681777793,17686087.641201112,1161303.4315244835,14789003.47302333
525,Dracula,NR,91.0,1992-11-13,40000000.0,30521679.0,82522790.0,1990,42522790.0,70317804.94825567,145070536.2751466,53655436.765381776,74752731.32689092
526,Zombieland,R,90.0,2009-10-02,23600000.0,24733155.0,75590286.0,2000,51990286.0,27134659.2895398,86911722.72071484,28437531.105100755,59777063.43117504
528,It Comes At Night,R,88.0,2017-06-09,5000000.0,5988370.0,13985117.0,2010,8985117.0,5034227.4752288945,14080852.04913814,6029363.357167291,9046624.573909245
531,Raw,R,90.0,2017-03-15,3292568.203198495,48468.0,508425.0,2010,-2784143.203198495,3315107.46252138,511905.42081865016,48799.78745387882,-2803202.041702729
532,Dawn of the Dead,R,93.0,2004-03-19,26000000.0,26722575.0,59020957.0,2000,33020957.0,33954261.0136688,77077422.2790201,34897895.63489772,43123161.2653513
534,The Fly,R,91.0,1986-08-15,15000000.0,7007423.0,40456565.0,1980,25456565.0,33756876.76841995,91045818.61190477,15769914.311679441,57288941.84348483
536,The Wicker Man,R,90.0,1974-08-07,210419.99831664003,5493.0,60891.0,1970,-149528.99831664003,1052643.3780958478,304612.2443133082,27479.185068614443,-748031.1337825395
538,Don't Breathe,R,87.0,2016-08-26,9900000.0,26411706.0,89210468.0,2010,79310468.0,10174615.78344559,91685074.31933008,27144339.4682146,81510458.53588447
539,Little Shop of Horrors,PG13,90.0,1986-12-19,25000000.0,3659884.0,38747385.0,1980,13747385.0,56261461.280699916,87199380.03623492,8236416.878314125,30937918.75553499
540,The Blair Witch Project,R,87.0,1999-07-30,60000.0,29207381.0,140539099.0,1990,140479099.0,88849.70733903648,208114296.93069792,43251120.89982891,208025447.22335887
541,The Shining,R,87.0,1980-06-13,19000000.0,622337.0,44017374.0,1980,25017374.0,56871809.08309725,131755141.60354152,1862812.1604919734,74883332.52044426
542,An American Werewolf in London,R,90.0,1981-08-21,10000000.0,3786512.0,30565292.0,1980,20565292.0,27128842.4525708,82920099.11848228,10272368.749276876,55791256.66591147
544,The Conjuring,R,86.0,2013-07-19,20000000.0,41855326.0,137400141.0,2010,117400141.0,21177205.389573142,145487550.3256655,44318941.76747704,124310344.93609235
545,The Dead Zone,R,90.0,1983-10-21,10000000.0,4556083.0,20766000.0,1980,10766000.0,24765963.85542169,51429000.54216868,11283578.69003012,26663036.68674699
546,Misery,R,89.0,1990-11-30,20000000.0,10076834.0,61276872.0,1990,41276872.0,37757867.22055179,115684199.8333374,19023988.00877709,77926332.61278561
547,Let Me In,R,87.0,2010-10-01,20000000.0,5147479.0,12134420.0,2010,-7865580.0,22624423.59857926,13726712.910153609,5822937.268039559,-8897710.688425653
548,Poltergeist,PG,88.0,1982-06-04,10700000.0,6896612.0,76606280.0,1980,65906280.0,27350863.212435234,195817559.3919171,17628812.28422798,168466696.1794819
549,28 Days Later,R,87.0,2003-06-27,8000000.0,2401663.0,45064915.0,2000,37064915.0,10727168.291864492,60427365.907946065,3220380.397668019,49700197.61608157
552,The Orphanage,R,87.0,2008-01-11,2299316.967606682,3548642.7267194157,7161284.0,2000,4861967.032393318,2634367.0131181898,8204806.299849906,4065741.0319300294,5570439.286731715
555,Donnie Darko: The Director's Cut,R,91.0,2001-10-26,4500000.0,23871.763255240443,194220.0,2000,-4305780.0,6268884.599723479,270565.05932406534,33255.40645311592,-5998319.540399414
558,Chronicle,PG13,85.0,2012-02-03,12000000.0,1389867.5454718296,64575175.0,2010,52575175.0,12892496.400391342,69377934.27017842,1493238.5272513595,56485437.86978708
560,The Descent,R,85.0,2006-08-04,1832652.6337836424,298905.64457011205,26024456.0,2000,24191803.366216358,2242446.8229409074,31843709.822673935,365743.07682166196,29601262.999733027
561,The Omen,R,86.0,1976-06-25,2800000.0,4273886.0,4273886.0,1970,1473886.0,12136591.595380677,18525146.038291123,18525146.038291123,6388554.442910445
563,Slither,R,86.0,2006-03-31,15500000.0,3880270.0,7774730.0,2000,-7725270.0,18965910.4594327,9513215.033952592,4747926.024414381,-9452695.425480107
564,Ginger Snaps,R,89.0,2001-05-11,5000000.0,19079.494956619877,2554.0,2000,-4997446.0,6965427.333026087,3557.9402817097257,26579.3671342347,-6961869.392744378
565,This Is the End,R,82.0,2013-06-12,32000000.0,20719162.0,101470202.0,2010,69470202.0,33883528.623317026,107442765.43377377,21938697.458691955,73559236.81045675
566,A Field in England,NR,88.0,2013-07-05,211938.2964453387,9498.0,30716.0,2010,-181222.2964453387,224413.04168695887,32523.952037306437,10057.054839508286,-191889.08964965242
570,Grindhouse,R,83.0,2007-04-06,53000000.0,11596613.0,25031037.0,2000,-27968963.0,63052724.55881151,29778775.12042301,13796189.534040242,-33273949.4383885
571,Gremlins,PG,84.0,1984-06-08,11000000.0,12511000.0,148170000.0,1980,137170000.0,26119290.87955055,351826848.1475459,29707131.654005174,325707557.26799536
573,Paranormal Activity,R,83.0,2009-10-16,15000.0,19617650.0,107918810.0,2000,107903810.0,17246.605480639704,124082209.33400765,22555858.000484765,124064962.72852701
574,The Thing,R,83.0,1982-06-25,15000000.0,3107897.0,13782838.0,1980,-1217162.0,38342331.606217615,35231076.33805182,7944267.824797928,-3111255.2681658035
576,The House of the Devil,R,86.0,2012-05-04,900000.0,25195.0,100659.0,2010,-799341.0,966937.2300293507,108145.48293058269,27068.870567321657,-858791.7470987681
577,Dracula: Pages From a Virgin's Diary,NR,87.0,2003-12-12,1216730.0380228139,4784.0,39659.0,2000,-1177071.0380228139,1631508.4854546757,53178.59591088174,6414.846638534966,-1578329.889543794
578,E.T. The Extra-Terrestrial,PG,98.0,1982-06-11,10500000.0,14223110.0,435110554.0,1980,424610554.0,26839632.124352332,1112210209.7888706,36356480.00611399,1085370577.664518
580,Hugo,PG,94.0,2011-11-23,150000000.0,1321700.0074923204,73864507.0,2010,-76135493.0,164490473.32582656,81000051.45605887,1449380.3988477353,-83490421.8697677
581,The Straight Story,G,96.0,1999-11-03,10000000.0,92312.0,6203044.0,1990,-3796956.0,14808284.556506079,9185644.06685277,136698.23639801893,-5622640.48965331
582,Enchanted,PG,93.0,2007-11-21,85000000.0,34440317.0,127807262.0,2000,42807262.0,101122294.10375431,152048982.7830539,40972751.34941799,50926688.6792996
583,Queen of Katwe,PG,93.0,2016-09-30,15000000.0,304933.0,8805918.0,2010,-6194082.0,15416084.520372104,9050185.077831073,313391.5267367085,-6365899.442541032
584,Harry Potter and the Prisoner of Azkaban,PG,91.0,2004-06-04,130000000.0,1517007.0,249358727.0,2000,119358727.0,169771305.068344,325645819.3305455,1981109.678367795,155874514.26220146
585,A Monster Calls,PG13,87.0,2017-01-06,43000000.0,30909.0,3730982.0,2010,-39269018.0,43294356.2869685,3756522.418796891,31120.587406369985,-39537833.8681716
588,Spy Kids,PG,93.0,2001-03-30,35000000.0,799738.548273432,112719001.0,2000,77719001.0,48757991.331182614,157027202.10335898,1114104.1486836732,108269210.77217637
590,Harry Potter and the Goblet of Fire,PG13,88.0,2005-11-18,150000000.0,8709337.493439086,290013036.0,2000,140013036.0,189462001.24779826,366309667.92339844,11000590.073663017,176847666.67560017
591,That Thing You Do!,PG,93.0,1996-10-04,26000000.0,6208595.0,25809813.0,1990,-190187.0,40888708.95760281,40589612.7695059,9763901.307331847,-299096.18809690786
592,L'Heure d'été ,NR,93.0,2009-06-05,3145103.6454610433,36354.4983455079,1641025.0,2000,-1504078.6454610433,3616157.4512658897,1886807.3839244514,41799.446027436235,-1729350.067341438
593,Pete's Dragon,PG,87.0,2016-08-12,65000000.0,773284.9982098102,76204454.0,2010,11204454.0,66803032.92161245,78318286.91285388,794735.1260492151,11515253.991241422
597,Duma,PG,93.0,2005-05-27,12000000.0,105422.0,860002.0,2000,-11139998.0,15156960.099823862,1086251.33331406,133156.42063696927,-14070708.766509803
598,A Christmas Story,PG,89.0,1983-11-18,3300000.0,2072473.0,19294144.0,1980,15994144.0,8172768.072289157,47783807.29253013,5132679.140933735,39611039.220240965
600,Harry Potter and the Half-Blood Prince,PG,84.0,2009-07-15,250000000.0,12035357.381835878,301959197.0,2000,51959197.0,287443424.6773284,347184742.79398423,13837937.372201879,59741318.11665587
601,Pee-wee's Big Adventure,PG,89.0,1985-08-09,6000000.0,99184.0,40900000.0,1980,34900000.0,13759039.35117476,93790784.91050796,227446.0931678196,80031745.55933319
604,Freaky Friday,PG,88.0,2003-08-06,26000000.0,22203007.0,110230332.0,2000,84230332.0,34863296.9485596,147807415.279012,29771924.08430567,112944118.33045238
605,The Karate Kid,PG,88.0,1984-06-22,8000000.0,5031753.0,90815558.0,1980,82815558.0,18995847.9124004,215639815.9809722,11947801.840095555,196643968.0685718
606,Cinderella,PG,84.0,2015-03-13,95000000.0,2611209.0,201151353.0,2010,106151353.0,98868667.64831215,209342802.808056,2717544.7871713843,110474135.15974383
608,Once,R,97.0,2007-06-15,134680.13468013468,18692.132557551227,9439923.0,2000,9305242.865319865,160225.46104773905,11230431.410856407,22237.545010718313,11070205.949808668
610,What's Love Got To Do With It?,R,96.0,1993-06-25,15000000.0,1071342.536202463,39100956.0,1990,24100956.0,25613164.124744885,66766613.5641619,1829364.8142382752,41153449.439417005
615,Love & Mercy,PG13,91.0,2015-06-19,10000000.0,2122177.0,12547189.0,2010,2547189.0,10407228.173506541,13058145.885911137,2208598.0263567595,2650917.712404595
622,The Full Monty,R,95.0,1997-09-19,3500000.0,2914175.0,45950122.0,1990,42450122.0,5378516.248493715,70612422.227791,4478267.882415478,65233905.97929729
623,Pina,PG,95.0,2011-02-24,2347730.897491663,354240.97433666815,3524826.0,2010,1177095.1025083368,2574529.110467142,3865335.314207866,388461.7702669368,1290806.2037407244
624,Crazy Heart,R,91.0,2010-02-05,7000000.0,82664.0,39462438.0,2010,32462438.0,7918548.2595027415,44640745.677233554,93511.26761764781,36722197.41773081
625,Funny Girl,G,93.0,1968-09-19,14100000.0,65560.0,223306.0,1960,-13876694.0,99991362.73119228,1583593.705393732,464924.37876999757,-98407769.02579856
627,Lagaan: Once Upon a Time in India,PG,95.0,2002-05-08,6000000.0,62809.46810706668,70147.0,2000,-5929853.0,8228013.898540653,96195.08182348855,86132.86275748175,-8131818.8167171655
631,Hedwig and the Angry Inch,R,93.0,2001-08-31,6000000.0,156724.0,3029081.0,2000,-2970919.0,8358512.799631305,4219768.718269999,218329.9266682361,-4138744.081361306
634,Dave Chappelle's Block Party,R,92.0,2006-03-03,3000000.0,6214723.0,11694528.0,2000,8694528.0,3670821.379245038,14309507.800859908,7604379.351495287,10638686.421614869
637,The Sapphires,PG13,91.0,2012-08-09,10000000.0,38372.0,2448455.0,2010,-7551545.0,10743747.00032612,2630558.106168349,41225.905989651386,-8113188.89415777
640,Straight Outta Compton,R,87.0,2015-08-14,28000000.0,56100000.0,161197785.0,2010,133197785.0,29140238.885818318,167762212.95588502,58384550.0533717,138621974.07006672
643,Florence Foster Jenkins,PG13,87.0,2016-08-12,29000000.0,6601313.0,27370107.0,2010,-1629893.0,29804430.072719403,28129325.522908546,6784426.6102287425,-1675104.5498108566
649,Sweeney Todd: The Demon Barber of Fleet Street,R,86.0,2007-12-21,50000000.0,13635390.0,52898073.0,2000,2898073.0,59483702.41397312,62931464.65209253,16221669.6211693,3447762.2381194066
650,Shine,PG13,91.0,1997-02-14,5500000.0,162179.0,35811509.0,1990,30311509.0,8451954.104775837,55032223.72559397,249223.5390469892,46580269.62081813
652,Chicago,PG13,86.0,2003-01-24,45000000.0,69476.71568627452,170687518.0,2000,125687518.0,60340321.64173777,228874216.3633312,93161.05269158604,168533894.72159344
658,Topsy-Turvy,R,89.0,2000-02-11,6280223.575959304,32718.0,6201757.0,2000,-78466.57595930435,8996146.743660312,8883746.791132405,46867.11,-112399.95252790736
661,Who Killed the Electric Car?,PG,89.0,2006-08-04,1000000.0,45138.0,1677838.0,2000,677838.0,1223607.1264150126,2053014.5337699123,55231.178472120846,829407.4073548994
665,Saturday Night Fever,R,87.0,1977-12-16,3000000.0,3878099.0,94213184.0,1970,91213184.0,12209657.638510088,383436907.2246521,15783420.35941611,371227249.586142
671,Eye In The Sky,R,95.0,2016-04-01,13000000.0,113803.0,18700837.0,2010,5700837.0,13360606.58432249,19219578.919580128,116959.77777812711,5858972.335257636
672,Blood Simple,R,94.0,1985-01-18,1500000.0,42971.0,2150000.0,1980,650000.0,3439759.83779369,4930322.434170956,98539.94665988846,1490562.5963772659
673,Bridge of Spies,PG13,91.0,2015-10-16,40000000.0,15371203.0,72313754.0,2010,32313754.0,41628912.694026165,75258573.79608215,15997161.692228828,33629661.102055974
674,The Crying Game,R,97.0,1993-02-19,1583476.764199656,101107.0,62549000.0,1990,60965523.23580034,2703856.6832777164,106805186.8559112,172644.6790107054,104101330.17263348
675,The Imitation Game,PG13,91.0,2014-12-25,14000000.0,1423274.0,91125683.0,2010,77125683.0,14587403.556196893,94949079.44679077,1482990.8720744697,80361675.89059387
677,Ex Machina,R,92.0,2015-04-24,15000000.0,30733.0,25442958.0,2010,10442958.0,15610842.260259813,26479066.931494366,31984.534345637658,10868224.671234554
678,Blue Ruin,R,96.0,2014-07-09,1066167.0,32608.0,258113.0,2010,-808054.0,1110900.5919499837,268942.74957861775,33976.146797176305,-841957.842371366
679,10 Cloverfield Lane,PG13,90.0,2016-03-11,15000000.0,24702752.0,71897215.0,2010,56897215.0,15416084.520372104,73891569.54795766,25387980.847852737,58475485.02758557
682,Blue Velvet,R,94.0,1986-10-23,6000000.0,789409.0,8551228.0,1980,2551228.0,13502750.707367979,19244183.32097748,1776532.1555254417,5741432.613609499
683,Children of Men,R,92.0,2007-01-05,76000000.0,665244.2372442372,35552383.0,2000,-40447617.0,90415227.66923915,42295747.40959194,791423.8048169349,-48119480.25964721
684,Wild Tales,R,95.0,2014-08-21,3300000.0,85100.0,3107072.0,2010,-192928.0,3438459.4096749816,3237436.6530114133,88670.57447373969,-201022.75666356814
688,The Dark Knight Rises,PG13,87.0,2012-07-20,250000000.0,9189023.032629559,448139099.0,2010,198139099.0,268593675.00815296,481469310.06101,9872453.864274146,212875635.052857
689,Beauty and The Beast ,NR,95.0,2017-03-17,160000000.0,6445619.996276299,504014165.0,2010,344014165.0,161095279.20732462,507464391.46950996,6489743.4560277825,346369112.26218534
691,Her,R,94.0,2014-01-10,23000000.0,260382.0,25568251.0,2010,2568251.0,23965020.12803775,26641028.254509628,271306.95091211854,2676008.1264718734
693,Slumdog Millionaire,R,92.0,2008-12-25,15000000.0,360018.0,141319928.0,2000,126319928.0,17185758.098372944,161912673.1391654,412478.81727066875,144726915.04079247
695,Titanic,PG13,88.0,1997-12-19,200000000.0,4855880.551301684,658672302.0,1990,458672302.0,307343785.6282123,1012194193.9256455,7462123.55597735,704850408.2974333
696,Shakespeare in Love,R,92.0,1999-01-08,25000000.0,4224426.0,100317794.0,1990,75317794.0,37020711.3912652,148553443.96329582,6255650.229590275,111532732.57203063
697,Up in the Air,R,91.0,2009-12-23,25000000.0,68923.25315005727,83823381.0,2000,58823381.0,28744342.46773284,96377918.81069,79246.14370141969,67633576.34295715
698,Eternal Sunshine Of The Spotless Mind,R,93.0,2004-03-19,20000000.0,8175198.0,34400301.0,2000,14400301.0,26118662.31820677,44924492.27318353,10676261.797323968,18805829.954976764
699,Before Sunset,R,95.0,2004-07-30,2700000.0,56995.0,5792822.0,2000,3092822.0,3526019.4129579137,7565038.084373958,74431.65794130975,4039018.6714160447
700,The Graduate,PG,91.0,1967-12-22,3000000.0,873.0,104945305.0,1960,101945305.0,22183572.322976124,776020587.808096,6455.419545986053,753837015.4851199
