,Name,Rating,Score,Release,Budget,Open,Gross
78,The Lord of the Rings: The Return of the King,PG13,94.0,2003-12-17,94000000.0,1764458.0,377845905.0
79,Dawn Of The Planet Of The Apes,PG13,90.0,2014-07-11,170000000.0,72611427.0,208545589.0
80,Goldfinger,PG,96.0,1965-01-09,3000000.0,,51081062.0
81,Catch Me If You Can,PG13,96.0,2002-12-25,52000000.0,30082000.0,164615351.0
82,Dr. No,PG,96.0,1962-10-07,1100000.0,,16067035.0
83,The Fugitive,PG13,96.0,1993-08-06,44000000.0,23758855.0,183875760.0
84,One False Move,R,98.0,1992-05-08,,,1543112.0
85,Doctor Strange,PG13,89.0,2016-11-04,165000000.0,1882494.3800017983,232641920.0
86,Apollo 13,PG,95.0,1995-06-30,52000000.0,200645.0,173837933.0
87,From Russia With Love,PG,96.0,1964-05-27,2000000.0,,24796765.0
88,The Killer,R,98.0,2017-11-10,,,
89,Jurassic Park,PG13,92.0,1993-06-11,63000000.0,21465353.88652017,402453882.0
90,Wallace & Gromit: The Curse of the Were-Rabbit,G,95.0,2005-10-07,30000000.0,1321383.0,56110897.0
91,Yellow Submarine,G,96.0,1968-11-13,,,
92,The Lion King,G,92.0,2019-07-19,,,
93,Spider-Man 2,PG13,93.0,2004-06-30,200000000.0,5309404.0,373585825.0
94,Hero,PG13,95.0,2004-08-27,31000000.0,687653.0,53710019.0
95,'71,PG13,96.0,2014-10-10,,55761.0,1268760.0
96,The Twilight Samurai ,NR,99.0,2002-11-02,5000000.0,4622.0,
97,Drive,R,93.0,2011-09-16,15000000.0,11340461.0,35060689.0
98,Raiders of the Lost Ark,PG,94.0,1981-06-12,18000000.0,1673731.0,248159971.0
99,The Departed,R,91.0,2006-10-06,90000000.0,1228256.1992304404,132384315.0
100,Inside Out,PG,98.0,2015-06-19,175000000.0,1154722.0,356461711.0
101,Snow White and the Seven Dwarfs,G,98.0,1938-02-04,2000000.0,7514749.0,184925485.0
102,Toy Story 3,G,99.0,2010-06-18,200000000.0,,415004880.0
103,Toy Story 2,G,100.0,1999-11-24,90000000.0,57388839.0,245852179.0
104,Finding Nemo,G,99.0,2003-05-30,94000000.0,2111315.0,380843261.0
105,Pinocchio,G,100.0,1940-02-23,2600000.0,3769251.0,84254167.0
106,Finding Dory,PG,94.0,2016-06-17,200000000.0,135060273.0,486295561.0
107,Toy Story,G,100.0,1995-11-22,30000000.0,2992465.2543516397,191796233.0
108,Shaun the Sheep Movie,PG,99.0,2015-08-05,25000000.0,666509.93743099,19375982.0
109,Ratatouille,G,96.0,2007-06-29,150000000.0,,206445654.0
110,How to Train Your Dragon,PG,98.0,2010-03-26,165000000.0,43732319.0,217581231.0
111,The Incredibles,PG,97.0,2004-11-05,92000000.0,70467623.0,261441092.0
112,Beauty and the Beast,G,94.0,2017-03-17,160000000.0,6445619.996276299,504014165.0
113,Paddington 2,NR,100.0,2018-01-12,,187560.0,
114,My Life as a Zucchini ,PG13,98.0,2017-02-24,6143667.296786389,28472.0,292279.0
115,101 Dalmatians,G,98.0,1996-11-27,75000000.0,45073479.0,136189294.0
116,Fantasia,G,96.0,1941-07-21,2280000.0,6047613.0,76408097.0
117,Tower,NR,100.0,2017-02-03,,8542.0,94329.0
118,Monsters Inc.,G,96.0,2001-11-02,115000000.0,32236.0,289916256.0
119,The Iron Giant,PG,96.0,1999-08-06,70000000.0,5732614.0,23159305.0
120,Spirited Away,PG,97.0,2003-03-28,19000000.0,1052197.0,10055859.0
121,Song Of The Sea,PG,99.0,2014-12-10,4265593.561368209,21910.0,857522.0
122,The Nightmare Before Christmas,PG,95.0,1993-10-29,18000000.0,,75082668.0
123,The Red Turtle ,PG,95.0,2017-01-20,,21010.0,920057.0
124,Only Yesterday,PG,100.0,2016-02-26,,8004.0,453243.0
125,Waltz with Bashir,R,96.0,2008-06-12,1500000.0,58091.64226639955,2283276.0
126,Your Name. ,PG,97.0,2017-08-18,,,
127,Antz,PG,96.0,1998-10-02,105000000.0,17195160.0,90757863.0
128,Persepolis,PG13,96.0,2008-02-22,7300000.0,22723.10286677909,4443403.0
129,Anomalisa,R,91.0,2016-01-21,8000000.0,135222.0,3442820.0
130,Fantastic Mr. Fox,PG,93.0,2009-11-25,40000000.0,910150.5608541779,21002919.0
131,In This Corner of the World ,PG13,98.0,2016-11-12,,,
132,Ernest & Célestine,PG,97.0,2014-02-28,6953498.478922208,13078.0,292562.0
133,The Secret World of Arrietty,G,94.0,2012-02-17,23000000.0,11152476.238497416,19202743.0
134,Aladdin,G,94.0,2019-05-24,,,
135,Ghost in the Shell,R,96.0,2017-03-31,110000000.0,18676033.0,40533014.0
136,Coraline,PG,90.0,2009-02-06,60000000.0,695126.7355505328,75286229.0
137,The Triplets of Belleville,PG13,94.0,2004-02-13,9500000.0,572207.0,7002255.0
138,Bambi,G,90.0,1942-08-21,,7216741.0,102797150.0
139,Frozen,PG,89.0,2013-11-27,150000000.0,67391326.0,400738009.0
140,My Neighbor Totoro,G,94.0,1988-04-16,3700000.0,,
141,How to Train Your Dragon 2,PG,91.0,2014-06-13,145000000.0,49451322.0,177002924.0
142,Long Way North ,PG,96.0,2016-09-30,5339028.2968499735,,
143,April and the Extraordinary World ,PG,96.0,2016-04-08,12400000.0,11413.0,294313.0
144,James and the Giant Peach,PG,93.0,1996-04-12,38000000.0,135378.0,28934758.0
145,The Little Mermaid,G,92.0,1989-11-17,40000000.0,9814520.0,111543479.0
146,Big Hero 6,PG,89.0,2014-11-07,165000000.0,56215889.0,222527828.0
147,Ponyo,G,92.0,2009-08-14,34000000.0,10930468.448858833,15090400.0
148,A Bug's Life,G,92.0,1998-11-25,120000000.0,33258052.0,162798565.0
149,Princess Mononoke ,PG13,92.0,2004-03-24,,,
150,Arthur Christmas,PG,92.0,2011-11-23,100000000.0,1361947.0053510412,46462469.0
151,Mary and Max,G,95.0,2009-04-09,11495535.714285715,156169.0,
152,The Little Prince,PG,93.0,2016-08-05,81200000.0,3113945.0,1339152.0
153,Bolt,PG,89.0,2008-11-21,150000000.0,26223128.0,114053579.0
154,Boy and the World ,PG,94.0,2014-01-17,,6591.0,129479.0
155,The Wind Rises,PG13,89.0,2014-02-21,30000000.0,7893833.433940221,5209580.0
156,Tangled,PG,89.0,2010-11-24,260000000.0,48767052.0,200821936.0
157,The Simpsons Movie,PG13,88.0,2007-07-27,75000000.0,186382.0,183135014.0
158,Shrek 2,PG,88.0,2004-05-19,150000000.0,644084.0,436471036.0
159,Shrek,PG,88.0,2001-05-18,60000000.0,42347760.0,267665011.0
160,Winnie the Pooh,G,91.0,2018-08-03,,,
161,Frankenweenie,PG,87.0,2012-10-05,39000000.0,11412213.0,35291068.0
162,When Marnie Was There,PG,91.0,2014-07-19,,40282.0,765127.0
163,The Peanuts Movie,G,87.0,2015-11-06,99000000.0,44213073.0,130178411.0
164,The Breadwinner,PG13,92.0,2017-11-17,,,66308.0
165,Kung Fu Panda,PG,87.0,2008-06-06,130000000.0,30885.0,215434591.0
166,Miss Hokusai ,PG13,92.0,2015-05-09,,24524.0,216202.0
167,Rango,PG,87.0,2011-03-04,135000000.0,1008377.2307692308,123477607.0
168,The Illusionist ,PG,90.0,2011-04-01,,,
169,Millennium Actress ,PG,92.0,2002-09-14,,18732.0,37285.0
170,Wreck-it Ralph,PG,87.0,2012-11-02,165000000.0,49038712.0,189422889.0
171,The Boy And The Beast ,PG13,91.0,2016-02-02,,274247.0,446142.0
172,ParaNorman,PG,87.0,2012-08-17,60000000.0,14087050.0,56003051.0
173,The Secret of Kells,G,91.0,2009-02-11,5041495.385092686,7085.0,686383.0
174,Tarzan,G,88.0,2016-07-01,180000000.0,38527856.0,126643061.0
175,Howl's Moving Castle,PG,87.0,2005-06-17,24000000.0,13272712.53330883,4711096.0
176,Kung Fu Panda 3,PG,86.0,2016-01-29,145000000.0,41282042.0,143528619.0
177,Tokyo Godfathers,PG13,90.0,2003-11-08,,37127.0,128985.0
178,My Dog Tulip,NR,90.0,2011-05-06,,14718.0,246574.0
179,Cloudy With a Chance of Meatballs,PG,87.0,2009-09-18,100000000.0,973530.062707488,124870275.0
180,The Pirates! Band of Misfits,PG,86.0,2012-04-27,55000000.0,11137734.0,31051126.0
181,Captain Underpants: The First Epic Movie ,PG,86.0,2017-06-02,38000000.0,23851539.0,73921000.0
182,The Princess and the Frog,G,85.0,2009-12-11,105000000.0,786190.0,104400899.0
183,Akira,R,87.0,1988-07-16,,,553171.0
184,Tim Burton's Corpse Bride,PG,84.0,2005-09-23,40000000.0,385078.0,53359111.0
185,Mulan,G,86.0,1998-06-19,90000000.0,22745143.0,120620254.0
186,Lilo & Stitch,PG,86.0,2002-06-21,80000000.0,35260212.0,145794338.0
187,The Cabinet of Dr. Caligari ,NR,100.0,1921-03-19,18000.0,,
188,Nosferatu a Symphony of Horror ,NR,97.0,1929-06-03,,,
189,The Battle of Algiers ,NR,99.0,1967-09-20,800000.0,13536.0,55908.0
190,La Grande illusion ,NR,97.0,1938-09-12,,7526.0,172885.0
191,Rashômon,NR,100.0,1951-12-26,250000.0,,
192,M,NR,100.0,,,,
193,The 400 Blows ,NR,100.0,1959-11-16,,,
194,Army of Shadows ,NR,97.0,1969-09-12,,12620.0,741766.0
195,The Conformist,R,100.0,1970-10-22,750000.0,,
196,Open City,NR,100.0,2008-01-10,,,
197,Tokyo Story ,G,100.0,1972-03-13,,,
198,The Wages of Fear,NR,100.0,1977-06-24,12000000.0,,
199,Battleship Potemkin,NR,100.0,1925-12-24,,2283.0,50970.0
200,The Leopard,PG,100.0,1963-03-29,,39102.0,
201,La Dolce Vita,NR,97.0,1961-04-19,,,19516000.0
202,Let the Right One In,R,98.0,2008-12-12,4000000.0,49295.0,2122065.0
203,Things to Come ,PG13,100.0,2016-04-06,2100000.0,33090.0,282382.0
204,Playtime,NR,100.0,1973-06-27,,,
205,The Rules of the Game ,NR,98.0,1950-04-08,,,
206,The Discreet Charm Of The Bourgeoisie ,PG,98.0,1972-10-22,800000.0,12864.0,198809.0
207,Gloria,R,99.0,1990-02-16,18000000.0,63661.0,26830000.0
208,Tampopo,NR,100.0,1987-09-01,,16410.0,224097.0
209,A Separation,PG13,99.0,2011-03-16,500000.0,100000.0,7098492.0
210,Pather Panchali,NR,98.0,1958-09-22,,,536364.0
211,The Salesman ,PG13,96.0,2016-08-31,,229106.0,3402067.0
212,Eyes Without a Face,NR,98.0,1962-10-24,,19628.0,52709.0
213,The Passion of Joan of Arc ,NR,98.0,1928-10-25,,6408.0,10437.0
214,8 1/2,NR,98.0,1963-06-25,,11947.0,50690.0
215,The Umbrellas of Cherbourg ,G,98.0,1964-12-16,,18425.0,18425.0
216,Three Colors: Red ,R,100.0,1994-11-23,,,4043686.0
217,The Tale of the Princess Kaguya,PG,100.0,2013-11-23,,284252550.0,1506975.0
218,Timbuktu,PG13,99.0,2014-12-10,,78544.0,1076075.0
219,Le Cercle Rouge,R,95.0,1970-10-20,,14843.0,372229.0
220,God's Own Country,NR,99.0,2017-10-25,,17768.0,224688.0
221,Faces Places ,PG,100.0,2017-06-28,,31006.0,504653.0
222,Truman,NR,100.0,2017-04-07,3579502.637528259,18258.0,208799.0
223,Amy,R,95.0,1999-09-19,,,
224,GETT: The Trial of Viviane Amsalem,NR,100.0,2014-06-25,,22916.0,987830.0
225,Phoenix,PG13,98.0,2014-09-25,,,
226,Sing Street,PG13,95.0,2016-03-17,,63573.0,3233839.0
227,Solaris,PG,96.0,1972-09-26,,,
228,After the Storm ,NR,97.0,2016-05-21,,27880.0,267773.0
229,The Handmaiden ,NR,95.0,2016-06-01,8388628.375374343,92129.0,2005473.0
230,Jiro Dreams of Sushi,PG,99.0,2012-03-15,,42035.0,2550508.0
231,Wings of Desire,PG13,98.0,1988-05-06,,,3210139.0
232,Aruitemo Aruitemo ,NR,100.0,2008-06-28,,20298.0,163512.0
233,Project Nim,PG13,98.0,2011-08-12,,25820.0,410077.0
234,Todo sobre mi madre ,R,98.0,2000-03-31,,99533.0,8264530.0
235,The Happiest Day in the Life of Olli Mäki ,NR,100.0,2016-09-02,1075461.5522495073,,
236,Le goût des autres ,R,100.0,2000-03-01,,22906.0,635282.0
237,Waste Land,NR,100.0,2011-01-21,1500000.0,8656.0,187716.0
238,The Band's Visit,PG13,98.0,2008-03-21,,67492.0,3053823.0
239,Poetry,NR,100.0,2011-02-11,1154221.7881559087,18900.0,355044.0
240,Sex Lies and Videotape,R,98.0,1989-09-22,1200000.0,37684.54458901936,24741700.0
241,The Vanishing ,R,98.0,1988-10-27,,,
242,The Wailing ,NR,99.0,2016-06-03,,133941.0,785405.0
243,Afghan Star,NR,100.0,2009-01-16,,3671.0,101543.0
244,A Prophet ,R,97.0,2010-02-01,,,
245,Under The Shadow,PG13,99.0,2016-10-07,,14000.0,30999.0
246,Elevator to the Gallows ,NR,93.0,1958-01-29,,14334.0,109257.0
247,About Elly,NR,99.0,2009-06-06,,700000000.0,106662.0
248,Fireworks Wednesday ,NR,100.0,2016-03-16,,,
249,Last Train Home,PG,100.0,2010-09-09,,24207.0,285848.0
250,This Is Not a Film,NR,98.0,2012-02-29,,7638.0,75465.0
251,Mafioso,NR,96.0,1965-03-04,,29965.0,398614.0
252,Monsieur Lazhar,PG13,97.0,2012-03-07,,112190.0,2009517.0
253,Three Colors: Blue ,R,98.0,1993-09-08,,,1324974.0
254,L'Avventura,NR,95.0,1961-03-04,,,
255,Nostalgia for the Light,NR,100.0,2011-03-17,,,
256,Bus 174 ,R,99.0,2003-08-30,,8625.0,216158.0
257,Maria Full of Grace,R,97.0,2004-08-06,3000000.0,139066.0,6517198.0
258,An Education,PG13,95.0,2010-02-05,2881106.344836417,159017.0,12574715.0
259,Moolaadé,NR,99.0,2005-03-09,,11982.0,214605.0
260,BPM ,NR,98.0,2017-08-23,,8566.0,79522.0
261,Rivers and Tides: Andy Goldsworthy Working With Time,G,99.0,2002-03-07,,,
262,Band of Outsiders ,NR,96.0,1964-08-05,120000.0,13252.0,37651.0
263,The Class,PG13,95.0,2006-09-18,,,
264,Aquarius,NR,97.0,2015-05-28,,,
265,The Look of Silence,PG13,96.0,2015-07-17,,6616.0,109089.0
266,Amour,PG13,93.0,2012-09-20,8900000.0,165414.7358665431,6739492.0
267,The Man Without a Past,PG,98.0,2002-11-06,,22392.0,921547.0
268,Graduation ,R,95.0,2016-05-20,2000000.0,67120.5496564647,175975.0
269,I Daniel Blake,R,93.0,2017-06-09,,337649.0,258168.0
270,The Kid with a Bike,PG13,96.0,2011-05-18,,45933.0,1384749.0
271,The Wizard of Oz,G,99.0,1939-08-25,2800000.0,3093998.0,22202612.0
272,Citizen Kane,PG,100.0,1941-09-05,839727.0,216239.0,1585634.0
273,The Third Man,NR,100.0,1949-08-31,,13576.0,449191.0
274,All About Eve,PG,100.0,1950-10-27,1400000.0,10177.0,10177.0
275,Modern Times,G,100.0,1936-02-25,1500000.0,11507.0,163245.0
276,It Happened One Night,NR,98.0,1934-02-22,325000.0,,
277,Singin' in the Rain,G,100.0,1952-04-11,2540800.0,,8819028.0
278,Casablanca,PG,97.0,1943-01-23,950000.0,181494.0,1024560.0
279,Psycho,R,97.0,1960-09-08,806947.0,,32000000.0
280,Laura,NR,100.0,1943-09-28,,,
281,A Hard Day's Night,G,98.0,1964-07-07,560000.0,50445.0,13780024.0
282,North by Northwest,NR,100.0,1959-09-26,3101000.0,,13275000.0
283,Repulsion,NR,100.0,1965-10-03,300000.0,,
284,Sunset Boulevard,G,98.0,1950-09-29,1752000.0,,
285,Rear Window,PG,100.0,1954-09-01,1000000.0,15172.0,36764313.0
286,The Bride of Frankenstein,NR,100.0,1935-05-06,397024.0,,
287,The Philadelphia Story,NR,100.0,1941-01-17,,,
288,12 Angry Men ,NR,100.0,1954-09-20,,,
289,All Quiet on the Western Front,PG,100.0,1930-08-24,1448864.0,,3270000.0
290,A Streetcar Named Desire,PG,98.0,1951-12-01,1800000.0,,8000000.0
291,Touch of Evil,PG13,96.0,1958-02-01,829000.0,70725.0,2237659.0
292,Vertigo,PG,97.0,1958-07-21,2479000.0,1486818.0,3200000.0
293,Frankenstein,NR,100.0,1994-11-04,45000000.0,11212889.0,22006296.0
294,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,PG,99.0,1964-01-29,1800000.0,,275902.0
295,Rosemary's Baby,R,99.0,1968-06-12,2300000.0,,
296,Rebecca,NR,100.0,1940-04-12,1288000.0,,
297,On the Waterfront,NR,98.0,1954-06-22,910000.0,,9600000.0
298,The Last Picture Show,R,100.0,1971-10-22,1300000.0,,29133000.0
299,The Grapes of Wrath,G,100.0,1940-03-15,800000.0,,
300,Roman Holiday,NR,98.0,1953-09-02,1500000.0,,
301,Anatomy of a Murder,G,100.0,1959-09-01,,,11900000.0
302,The Lady Vanishes,PG,98.0,1938-11-01,,,
303,Chinatown,R,98.0,1974-06-20,6000000.0,,29200000.0
304,Gone With the Wind,G,93.0,1940-01-17,3977000.0,1192593.0,198676459.0
305,Cool Hand Luke,PG,100.0,1967-11-01,3200000.0,,
306,An American in Paris,G,95.0,1951-11-11,2723903.0,,4500000.0
307,The Red Shoes,R,96.0,1948-09-06,,13336.0,10900000.0
308,The Gold Rush,G,100.0,1925-01-01,923000.0,,5450000.0
309,It's a Wonderful Life,PG,94.0,1947-01-07,3180000.0,,7270000.0
310,Sweet Smell of Success,NR,98.0,1957-07-04,2600000.0,,
311,To Be or Not to Be,PG,98.0,1942-03-06,,,
312,Invasion of the Body Snatchers,PG,98.0,1978-12-22,3500000.0,1298129.0,24946533.0
313,The Big Sleep,PG,96.0,1946-08-31,250000.0,,
314,Mary Poppins,G,100.0,1964-09-11,6000000.0,,102272727.0
315,City Lights,G,98.0,1931-03-07,1500000.0,,19181.0
316,His Girl Friday,PG,98.0,1940-01-18,,,
317,Barry Lyndon,PG,97.0,1975-12-18,11000000.0,,
318,Miracle on 34th Street,NR,96.0,1947-10-02,,,2650000.0
319,Freaks,NR,94.0,1932-02-20,310607.0,,
320,Gentlemen Prefer Blondes,G,98.0,1953-08-01,,,12000000.0
321,Mean Streets,R,98.0,1973-10-14,500000.0,32645.0,32645.0
322,The Manchurian Candidate,PG13,98.0,2004-07-30,80000000.0,20018620.0,65955630.0
323,The Best Years of Our Lives,NR,96.0,1947-01-01,2100000.0,,23650000.0
324,Forbidden Planet,G,98.0,1956-08-22,1900000.0,,3000000.0
325,Duck Soup,NR,94.0,1933-11-17,,,
326,The Day the Earth Stood Still,G,94.0,2008-12-12,80000000.0,26609.0,79366978.0
327,Some Like It Hot,G,96.0,1959-04-14,2883848.0,,25000000.0
328,2001: A Space Odyssey,G,94.0,1968-05-12,12000000.0,,56954992.0
329,One Flew Over the Cuckoo's Nest,R,95.0,1975-11-19,4400000.0,99761.0,112000000.0
330,Sunrise: A Song of Two Humans,NR,98.0,1927-11-04,,5801.0,
331,Bringing Up Baby,NR,95.0,1938-02-18,1073000.0,,
332,Peeping Tom,R,96.0,1962-05-15,,77752.0,83957.0
333,The Birds,PG13,96.0,1963-03-29,2500000.0,,11403529.0
334,Rebel Without a Cause,PG13,96.0,1955-10-29,1500000.0,,
335,Night of the Living Dead,R,96.0,1968-10-04,114000.0,5452.0,89029.0
336,Don't Look Now,R,96.0,1974-01-01,1500000.0,,
337,The Apartment,NR,93.0,1960-09-16,3000000.0,,18600000.0
338,Get Out,R,99.0,2017-02-24,5000000.0,33377060.0,175484140.0
339,The Big Sick,R,98.0,2017-07-14,5000000.0,7529590.0,42872467.0
340,Lady Bird,R,100.0,2018-02-15,,364437.0,12545451.0
341,La La Land,PG13,92.0,2016-12-25,30000000.0,9242782.0,151101803.0
342,Monty Python and the Holy Grail,PG,97.0,1975-05-25,,45487.0,1229197.0
343,Love & Friendship,PG,98.0,2016-06-03,3000000.0,133513.0,14013564.0
344,Before Midnight,R,98.0,2013-06-14,3000000.0,246914.0,8114627.0
345,Paterson,R,96.0,2016-11-17,,143031.0,2141423.0
346,The Artist,PG13,96.0,2012-01-20,15000000.0,46560.086499845536,44671682.0
347,Annie Hall,PG,97.0,1977-04-20,4000000.0,,39200000.0
348,Logan Lucky,PG13,93.0,2017-08-18,29000000.0,7600036.0,27780977.0
349,Birdman,R,91.0,2014-11-14,18000000.0,2471471.0,42340598.0
350,Paddington,PG,98.0,2015-01-16,55000000.0,3431093.047845625,76223578.0
351,Airplane!,PG,97.0,1980-07-02,3500000.0,,83400000.0
352,Big,PG,97.0,1988-06-03,18000000.0,759632.9820210787,114968774.0
353,Spy,R,94.0,2015-06-05,65000000.0,2855570.0,110825712.0
354,The Grand Budapest Hotel,R,92.0,2014-03-28,25000000.0,920982.7492937429,59100318.0
355,The Nice Guys,R,92.0,2016-05-20,50000000.0,11203270.0,36261763.0
356,Before Sunrise,R,100.0,1995-01-27,2500000.0,1423537.0,5535405.0
357,Don't Think Twice,R,98.0,2016-07-22,,92835.0,4417983.0
358,Monty Python's Life of Brian,R,97.0,1979-08-17,4000000.0,26376.0,20045115.0
359,The Muppets,PG,96.0,,,,
360,Sideways,R,96.0,2005-01-21,12000000.0,207042.0,71503593.0
361,Amadeus,R,95.0,1984-09-19,18000000.0,86764.0,51973029.0
362,Bull Durham,R,97.0,1988-06-15,7000000.0,,50888729.0
363,Tangerine,R,97.0,2015-07-10,100000.0,74934.0,701837.0
364,The Player,R,98.0,1992-05-08,8000000.0,302216.0,21706100.0
